full_name,image
Tanjiro Kamado,https://comicvine.gamespot.com/a/uploads/square_small/13/136525/5738727-tanjiro.jpg
Agatsuma Zenitsu,https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7535416-5017161558-latest.png
Hashibira Inosuke,https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7535418-9927758824-latest.png
Nezuko Kamado,https://comicvine.gamespot.com/a/uploads/square_small/11118/111187046/7113416-8761917394-EFSNQYHUEAAbdkR.jpg%3Aorig
Kibutsuji Muzan,https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7535357-7215058463-latest.png
Tomioka Giyuu,https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7535371-9349637071-latest.png
Kochou Shinobu,https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7535415-0094181215-latest.png
Tsuyuri Kanao,https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7535407-0215191562-latest.png
Iguro Obanai,https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7535363-9556267315-latest.png
Tokitou Muichirou,https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7535364-8717839591-latest.png
Kanroji Mitsuri,https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7535408-8086030917-latest.png
Uzui Tengen,https://comicvine.gamespot.com/a/uploads/square_small/13/136525/5652340-u.jpg
Shinazugawa Sanemi,https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7535360-1885193618-latest.png
Genya Shinazugawa,https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7266318-9891920077-latest
Himejima Gyoumei,https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7535358-7654313329-latest.png
Murata,https://comicvine.gamespot.com/a/uploads/square_small/13/136525/5909175-murata.jpg
Kokushibo,https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7266335-0561626076-latest
Tamayo,https://comicvine.gamespot.com/a/uploads/square_small/13/136525/5338916-tamayo.jpg
Yushiro,https://comicvine.gamespot.com/a/uploads/square_small/13/136525/5338910-yushiro.jpg
Rengoku Kyoujuro,https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7535367-2872956271-latest.png
Akaza,https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7535419-4722387868-latest.png
Yoriichi Tsugikuni,https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7266319-7859074472-latest
Doma,https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7266336-5921284267-latest
