full_name,image
Natsu Dragneel,https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7607765-tumblr_inline_pd7frq3vtd1rjybja_1280.jpg
Lucy Heartphilia,https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/5581686-fairy.tail.full.1677163.jpg
Erza Scarlett,https://comicvine.gamespot.com/a/uploads/square_small/11117/111173561/5287844-1667697432-Erza-.jpg
Happy,https://comicvine.gamespot.com/a/uploads/square_small/6/63938/1231176-happy.jpg
Gray Fullbuster,https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/5590927-gray.fullbuster.full.1239063.jpg
Wendy Marvell,https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/5590903-2409364449-1ed1f.jpg
Carla,https://comicvine.gamespot.com/a/uploads/square_small/5/55582/3727777-carla%27s_first_appearance.jpg
Gajeel Redfox,https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/5590935-gajeel.redfox.full.1235759.jpg
Levy McGarden,https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/5590919-6545921067-32177.jpg
Makarov Dreyar,https://comicvine.gamespot.com/a/uploads/square_small/11117/111173561/5324960-1119858615-185
Elfman Strauss,https://comicvine.gamespot.com/a/uploads/square_small/11117/111173561/5293714-0122651292-200
Mirajane Strauss,https://comicvine.gamespot.com/a/uploads/square_small/5/55582/3727844-mirajane%27s_outfit_gmg.jpg
Juvia Lockser,https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/5591126-cover_433.png
Cana Alberona,https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/5591086-cover_241_waifu2x_art_noise1_scale_tta_1.jpg
Lisanna Strauss,https://comicvine.gamespot.com/a/uploads/square_small/11117/111173561/5302171-1978407477-JPe2_AmHpDRXYXrbT0q6aBNVXVa4kPFxwjS3H58OYxdefNUb_WtEAxkm9RMiaA2ihg_DYLM%3Ds630-fcrop64%3D1%2C00000da7fffef274
Pantherlily,https://comicvine.gamespot.com/a/uploads/square_small/6/67663/4303335-9669183880-Lily_.jpg
Droy,https://comicvine.gamespot.com/a/uploads/square_small/6/67663/3904535-7281533442-Droy_.JPG
Warren Rocko,https://comicvine.gamespot.com/a/uploads/square_small/11117/111173561/5294656-7173155482-latest
Doranbolt,https://comicvine.gamespot.com/a/uploads/square_small/11117/111173561/5134074-4858872365-tumbl.jpg
Minerva Orlando,https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/5591815-1616486267-latest
Sting Eucliffe,https://comicvine.gamespot.com/a/uploads/square_small/11117/111173561/5301145-0878748885-687474703a2f2f732d6d656469612d63616368652d616b302e70696e696d672e636f6d2f373336782f38312f38392f64612f38313839646164613739323964333665643132306566643839393137323937312e6a7067
Laki Olietta,https://comicvine.gamespot.com/a/uploads/square_small/6/67663/4303327-3537554332-X791_.jpg
Jet,https://comicvine.gamespot.com/a/uploads/square_small/6/67663/3904530-9519410813-Jet_i.jpg
Wakaba Mine,https://comicvine.gamespot.com/a/uploads/square_small/6/67663/4303342-7592620207-X791_.jpg
Franmalth,https://comicvine.gamespot.com/a/uploads/square_small/11117/111173561/5316112-4131750116-latest
Lector,https://comicvine.gamespot.com/a/uploads/square_small/6/67663/4303357-1233205747-Lecto.jpg
Frosch,https://comicvine.gamespot.com/a/uploads/square_small/6/67663/4303355-4603735215-Frosc.jpg
Jellal Fernandes,https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/5581712-jellal.fernandes.full.1239064.jpg
Lyon Vastia,https://comicvine.gamespot.com/a/uploads/square_small/11117/111173561/5316176-1414199232-latest
Rogue Cheney,https://comicvine.gamespot.com/a/uploads/square_small/6/67663/4303336-4262435384-Rogue.jpg
Loke,https://comicvine.gamespot.com/a/uploads/square_small/5/55582/3727681-loke_the_lion.jpg
Zeref Dragneel,https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7669736-zeref.jpg
Vijeeter Ecor,https://comicvine.gamespot.com/a/uploads/square_small/6/67663/3904679-7359702769-X791_.jpg
Romeo Conbolt,https://comicvine.gamespot.com/a/uploads/square_small/6/67663/4303337-8963008690-Romeo.jpg
Macao Conbolt,https://comicvine.gamespot.com/a/uploads/square_small/6/67663/4303328-4930174183-X791_.jpg
Mavis Vermilion,https://comicvine.gamespot.com/a/uploads/square_small/6/67663/4458687-6419883627-latest
Gildarts Clive,https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7653731-6061257437-unkno.png
