full_name image
"Isaac Netero" https://static.wikia.nocookie.net/hunterxhunter/images/8/88/Isaac_Netero_HE_Portrait.png/revision/latest/scale-to-width-down/130?cb=20130502222609
"Pariston Hill" https://static.wikia.nocookie.net/hunterxhunter/images/1/15/Pariston_Hill_HCE_Portrait.png/revision/latest/scale-to-width-down/130?cb=20150816022835
"Cheadle Yorkshire" https://static.wikia.nocookie.net/hunterxhunter/images/0/01/Cheadle_Yorkshire_HCE_Portrait.png/revision/latest/scale-to-width-down/130?cb=20181224123712
"Botobai Gigante" https://static.wikia.nocookie.net/hunterxhunter/images/9/9c/Botobai_Gigante_HCE_Portrait.png/revision/latest/scale-to-width-down/130?cb=20181225161429
"Mizaistom Nana" https://static.wikia.nocookie.net/hunterxhunter/images/e/e1/Mizaistom_Nana_HCE_Portrait.png/revision/latest/scale-to-width-down/130?cb=20181211010802
"Saccho Kobayakawa" https://static.wikia.nocookie.net/hunterxhunter/images/c/c3/Saccho_Kobayakawa_HCE_Portrait.png/revision/latest/scale-to-width-down/130?cb=20181225155347
Cluck https://static.wikia.nocookie.net/hunterxhunter/images/c/ca/Cluck_HCE_Portrait.png/revision/latest/scale-to-width-down/130?cb=20181225080029
Gel https://static.wikia.nocookie.net/hunterxhunter/images/e/eb/Gel_HCE_Portrait.png/revision/latest/scale-to-width-down/130?cb=20150722202636
Ginta https://static.wikia.nocookie.net/hunterxhunter/images/3/3e/Ginta_HCE_Portrait.png/revision/latest/scale-to-width-down/130?cb=20150722202806
Kanzai https://static.wikia.nocookie.net/hunterxhunter/images/7/71/Kanzai_HCE_Portrait.png/revision/latest/scale-to-width-down/130?cb=20150722203324
Kurapika https://static.wikia.nocookie.net/hunterxhunter/images/b/b5/Kurapika_YC_Portrait.png/revision/latest/scale-to-width-down/130?cb=20190124184322
"Leorio Paradinight" https://static.wikia.nocookie.net/hunterxhunter/images/a/ad/Leorio_Paradinight_HCE_Portrait.png/revision/latest/scale-to-width-down/130?cb=20181125150244
Pyon https://static.wikia.nocookie.net/hunterxhunter/images/3/3b/Pyon_HCE_Portrait.png/revision/latest/scale-to-width-down/130?cb=20181225154252
Saiyu https://static.wikia.nocookie.net/hunterxhunter/images/9/95/Saiyu_HCE_Portrait.png/revision/latest/scale-to-width-down/130?cb=20181225081246
"Ging Freecss" https://static.wikia.nocookie.net/hunterxhunter/images/3/3f/Ging_Freecss_%28Young%29_GI_Portrait.png/revision/latest/scale-to-width-down/130?cb=20130502150928
"Biscuit Krueger" https://static.wikia.nocookie.net/hunterxhunter/images/c/ce/Biscuit_Krueger_GI_Portrait.png/revision/latest/scale-to-width-down/130?cb=20190124170402
"Teradein Neutral" https://static.wikia.nocookie.net/hunterxhunter/images/0/0f/Teradein_Neutral_HCE_Portrait.png/revision/latest/scale-to-width-down/130?cb=20190205193709
"Morel Mackernasey" https://static.wikia.nocookie.net/hunterxhunter/images/5/5c/Morel_Mackernasey_CA_Portrait.png/revision/latest/scale-to-width-down/130?cb=20190127155510
Menchi https://static.wikia.nocookie.net/hunterxhunter/images/f/f6/Menchi_HE_Portrait.png/revision/latest/scale-to-width-down/130?cb=20190125001226
Tsezguerra https://static.wikia.nocookie.net/hunterxhunter/images/f/f8/Tsezguerra_GI_Portrait.png/revision/latest/scale-to-width-down/130?cb=20181225070425
Barry https://static.wikia.nocookie.net/hunterxhunter/images/9/9f/Barry_GI_Portrait.png/revision/latest/scale-to-width-down/130?cb=20190128110204
Basho https://static.wikia.nocookie.net/hunterxhunter/images/2/2c/Basho_YC_Portrait.png/revision/latest/scale-to-width-down/130?cb=20181210233824
Beans https://static.wikia.nocookie.net/hunterxhunter/images/1/1d/Beans_HE_Portrait.png/revision/latest/scale-to-width-down/130?cb=20130503075743
Binolt https://static.wikia.nocookie.net/hunterxhunter/images/1/1a/Binolt_GI_Portrait.png/revision/latest/scale-to-width-down/130?cb=20130503075810
"Gon Freecss" https://static.wikia.nocookie.net/hunterxhunter/images/2/2c/Gon_Freecss_GI_Portrait.png/revision/latest/scale-to-width-down/130?cb=20150530060902
Goreinu https://static.wikia.nocookie.net/hunterxhunter/images/7/7e/Goreinu_GI_Portrait.png/revision/latest/scale-to-width-down/130?cb=20190123171404
Hanzo https://static.wikia.nocookie.net/hunterxhunter/images/0/0e/Hanzo_HE_Portrait.png/revision/latest/scale-to-width-down/130?cb=20130503082851
"Hisoka Morow" https://static.wikia.nocookie.net/hunterxhunter/images/8/88/Hisoka_Morow_HP_Portrait.png/revision/latest/scale-to-width-down/130?cb=20190402195518
"Illumi Zoldyck" https://static.wikia.nocookie.net/hunterxhunter/images/7/72/Illumi_Zoldyck_HCE_Portrait.png/revision/latest/scale-to-width-down/130?cb=20181227022223
Kess https://static.wikia.nocookie.net/hunterxhunter/images/6/6a/Kess_GI_Portrait.png/revision/latest/scale-to-width-down/130?cb=20190124183518
"Killua Zoldyck" https://static.wikia.nocookie.net/hunterxhunter/images/2/2f/Killua_Zoldyck_GI_Portrait.png/revision/latest/scale-to-width-down/130?cb=20181228054718
Kite https://static.wikia.nocookie.net/hunterxhunter/images/4/43/Kite_%28Ant%29_HCE_Portrait.png/revision/latest/scale-to-width-down/130?cb=20141112143025
Knov https://static.wikia.nocookie.net/hunterxhunter/images/a/af/Knov_CA_Portrait.png/revision/latest/scale-to-width-down/130?cb=20190127155346
"Knuckle Bine" https://static.wikia.nocookie.net/hunterxhunter/images/6/6f/Knuckle_Bine_CA_Portrait.png/revision/latest/scale-to-width-down/130?cb=20190127160750
Lippo https://static.wikia.nocookie.net/hunterxhunter/images/e/ef/Lippo_HE_Portrait.png/revision/latest/scale-to-width-down/130?cb=20190125001307
"Loupe Highland" https://static.wikia.nocookie.net/hunterxhunter/images/3/3e/Loupe_Highland_HCE_Portrait.png/revision/latest/scale-to-width-down/130?cb=20181214223529
Melody https://static.wikia.nocookie.net/hunterxhunter/images/5/5f/Melody_YC_Portrait.png/revision/latest/scale-to-width-down/130?cb=20190603215612
"Palm Siberia" https://static.wikia.nocookie.net/hunterxhunter/images/7/75/Palm_Siberia_%28Ant%29_CA_Portrait.png/revision/latest/scale-to-width-down/130?cb=20140620234253
