full_name,image
Jonathan Joestar,https://static.wikia.nocookie.net/jjba/images/a/a7/JonathanAvAnim.png/revision/latest?cb=20181222002915
Will Anthonio Zeppeli,https://static.wikia.nocookie.net/jjba/images/e/ec/WillZeppeliAvAnim.png/revision/latest?cb=20181222003334
Robert E. O. Speedwagon,https://static.wikia.nocookie.net/jjba/images/3/31/SpeedwagonAvAnim1.png/revision/latest?cb=20181222003333
Erina Pendleton,https://static.wikia.nocookie.net/jjba/images/a/a4/ErinaAvAnim1.png/revision/latest?cb=20181222003137
Poco,https://static.wikia.nocookie.net/jjba/images/3/35/PocoAvAnim.png/revision/latest?cb=20181222003137
George Joestar I,https://static.wikia.nocookie.net/jjba/images/0/0c/GeorgeAvAnim.png/revision/latest?cb=20181225203349
Tonpetty,https://static.wikia.nocookie.net/jjba/images/b/ba/TonpettyAvAnim.png/revision/latest?cb=20181222003333
Straizo,https://static.wikia.nocookie.net/jjba/images/8/8d/StraizoAvAnim1.png/revision/latest?cb=20181222003333
Dire,https://static.wikia.nocookie.net/jjba/images/5/50/DireAvAnim.png/revision/latest?cb=20181222003137
Dio Brando,https://static.wikia.nocookie.net/jjba/images/3/32/DioAvAnim1.png/revision/latest?cb=20181222003137
Wang Chan,https://static.wikia.nocookie.net/jjba/images/7/7d/WangAvAnim.png/revision/latest?cb=20181222003333
Jack the Ripper,https://static.wikia.nocookie.net/jjba/images/8/8c/JackAvAnim.png/revision/latest?cb=20181222003137
Tarkus,https://static.wikia.nocookie.net/jjba/images/2/23/TarkusAvAnim.png/revision/latest?cb=20181222003333
Bruford,https://static.wikia.nocookie.net/jjba/images/d/da/BrufordAvAnim.png/revision/latest?cb=20181222003136
Dario Brando,https://static.wikia.nocookie.net/jjba/images/c/ca/DarioAvAnim.png/revision/latest?cb=20181222003136
Joseph Joestar,https://static.wikia.nocookie.net/jjba/images/c/c1/JosephAvAnim2.png/revision/latest?cb=20181222011413
