full_name,image
Nezu,https://static.wikia.nocookie.net/bokunoheroacademia/images/2/2f/Mr._Principal_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20200401120805
Mummy,https://static.wikia.nocookie.net/bokunoheroacademia/images/4/4a/Mummy_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20200512115728
Masaru Bakugo,https://static.wikia.nocookie.net/bokunoheroacademia/images/3/30/Masaru_B.png/revision/latest?cb=20180709143604
Mustard,https://static.wikia.nocookie.net/bokunoheroacademia/images/2/24/Mustard_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20200116231937
Sho,https://static.wikia.nocookie.net/bokunoheroacademia/images/e/e4/Sho_Portrait.png/revision/latest/scale-to-width-down/135?cb=20200314175611
Midnight Boys,https://static.wikia.nocookie.net/bokunoheroacademia/images/9/9b/Midnight_Boys_Sketch.png/revision/latest/scale-to-width-down/150?cb=20180517184654
Mr. Compress,https://static.wikia.nocookie.net/bokunoheroacademia/images/9/95/Mr_Compress_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20180503200307
The Fly,https://static.wikia.nocookie.net/bokunoheroacademia/images/c/c2/The_Fly_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20200522195003
Star and Stripe,https://static.wikia.nocookie.net/bokunoheroacademia/images/5/58/Star_and_Stripe_Colored_Manga_Portrait.png/revision/latest/scale-to-width-down/135?cb=20220710212223
La Brava,https://static.wikia.nocookie.net/bokunoheroacademia/images/b/b6/La_Brava_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20200308233205
Johnny,https://static.wikia.nocookie.net/bokunoheroacademia/images/f/f1/Johnny_%28Anime%29.png/revision/latest/scale-to-width-down/145?cb=20210821132548
The Skycrawler,https://static.wikia.nocookie.net/bokunoheroacademia/images/b/bf/The_Skycrawler_portrait.png/revision/latest/scale-to-width-down/135?cb=20220709174625
Hitoshi Shinso,https://static.wikia.nocookie.net/bokunoheroacademia/images/1/19/Hitoshi_Shinso_Portrait.png/revision/latest/scale-to-width-down/135?cb=20181125071658
Toya Setsuno,https://static.wikia.nocookie.net/bokunoheroacademia/images/6/66/Toya_Setsuno_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20200112144740
Cider House,https://static.wikia.nocookie.net/bokunoheroacademia/images/0/0b/Cider_House_attack.png/revision/latest/scale-to-width-down/240?cb=20210612164203
Hood,https://static.wikia.nocookie.net/bokunoheroacademia/images/9/95/Hood_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20200405151444
Lunch Rush,https://static.wikia.nocookie.net/bokunoheroacademia/images/5/53/Lunch_Rush_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20200401120950
Mazinger Brothers,https://static.wikia.nocookie.net/bokunoheroacademia/images/9/96/Mazinger_Brothers.png/revision/latest/scale-to-width-down/224?cb=20191107160716
All Might,https://static.wikia.nocookie.net/bokunoheroacademia/images/e/ec/All_Might_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20200511210525
Hound Dog,https://static.wikia.nocookie.net/bokunoheroacademia/images/8/8b/Hound_Dog_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20200321202014
Eraser Head,https://static.wikia.nocookie.net/bokunoheroacademia/images/b/ba/Eraser_Head_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20200606161947
Yakuza Thugs,https://static.wikia.nocookie.net/bokunoheroacademia/images/0/0f/Shie_Hassaikai_Lower_Members_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20200520180244
Cow Cowboy,https://static.wikia.nocookie.net/bokunoheroacademia/images/5/5b/Cow_Cowboy_Icon.png/revision/latest?cb=20200116052508
O'Clock II,https://static.wikia.nocookie.net/bokunoheroacademia/images/b/b8/Number_6_Colored_Manga_Portrait.png/revision/latest/scale-to-width-down/135?cb=20220708203711
Beros,https://static.wikia.nocookie.net/bokunoheroacademia/images/9/94/Beros_Portrait.png/revision/latest/scale-to-width-down/135?cb=20210720210958
Mika Jiro,https://static.wikia.nocookie.net/bokunoheroacademia/images/5/5e/Mika_Jiro_Anime.png/revision/latest/scale-to-width-down/135?cb=20180710192526
Nana,https://static.wikia.nocookie.net/bokunoheroacademia/images/4/48/Nana_Shimura_Portrait_%28Anime%29.png/revision/latest/scale-to-width-down/135?cb=20180618211815
Dusty Ash,https://static.wikia.nocookie.net/bokunoheroacademia/images/1/10/Konako_Haizono_Portrait.png/revision/latest/scale-to-width-down/135?cb=20180627193553
Minoru Mineta,https://static.wikia.nocookie.net/bokunoheroacademia/images/6/6a/Minoru_Mineta_Portrait.png/revision/latest/scale-to-width-down/135?cb=20160619050156
Nomu (Chainsaw),https://static.wikia.nocookie.net/bokunoheroacademia/images/1/12/Nomu_Tool_Arms_headshot.png/revision/latest/scale-to-width-down/135?cb=20180522020228
Gust Boy,https://static.wikia.nocookie.net/bokunoheroacademia/images/b/b3/Tsumuji_Kazetani_Portrait.png/revision/latest/scale-to-width-down/135?cb=20180627193713
Majestic,https://static.wikia.nocookie.net/bokunoheroacademia/images/7/75/Majestic_Portrait.png/revision/latest/scale-to-width-down/135?cb=20210103224014
Giran,https://static.wikia.nocookie.net/bokunoheroacademia/images/d/de/Giran_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20170805183523
Kota Izumi,https://static.wikia.nocookie.net/bokunoheroacademia/images/6/64/Kota_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20200405164449
Wolfram,https://static.wikia.nocookie.net/bokunoheroacademia/images/7/73/Wolfram_Portrait.png/revision/latest/scale-to-width-down/135?cb=20200512115103
Airjet,https://static.wikia.nocookie.net/bokunoheroacademia/images/1/1d/Airjet_Portrait.png/revision/latest/scale-to-width-down/135?cb=20191226092733
Kendo Rappa,https://static.wikia.nocookie.net/bokunoheroacademia/images/b/ba/Kendo_Rappa_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20200520175908
Stain,https://static.wikia.nocookie.net/bokunoheroacademia/images/f/f4/Stain_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20200405170033
Vlad King,https://static.wikia.nocookie.net/bokunoheroacademia/images/b/ba/Vlad_King_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20180503220954
Lady Nagant,https://static.wikia.nocookie.net/bokunoheroacademia/images/a/aa/Lady_Nagant_Portrait.png/revision/latest/scale-to-width-down/135?cb=20210117200931
Sludge Villain,https://static.wikia.nocookie.net/bokunoheroacademia/images/0/05/Sludge_Villain.png/revision/latest/scale-to-width-down/240?cb=20170701232431
