full_name,image
Nezu,https://static.wikia.nocookie.net/bokunoheroacademia/images/2/2f/Mr._Principal_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20200401120805
Mummy,https://static.wikia.nocookie.net/bokunoheroacademia/images/4/4a/Mummy_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20200512115728
Kotaro Shimura,https://static.wikia.nocookie.net/bokunoheroacademia/images/c/c1/Kotaro_Shimura.png/revision/latest/scale-to-width-down/135?cb=20190807085007
Setsuna Tokage,https://static.wikia.nocookie.net/bokunoheroacademia/images/d/dd/Setsuna_Tokage_Portrait.png/revision/latest/scale-to-width-down/135?cb=20181125071213
Masaru Bakugo,https://static.wikia.nocookie.net/bokunoheroacademia/images/3/30/Masaru_B.png/revision/latest?cb=20180709143604
Habuko Mongoose,https://static.wikia.nocookie.net/bokunoheroacademia/images/7/79/Habuko_Mongoose_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20200512142740
Mustard,https://static.wikia.nocookie.net/bokunoheroacademia/images/2/24/Mustard_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20200116231937
Enigma,https://static.wikia.nocookie.net/bokunoheroacademia/images/8/8b/Enigma.png/revision/latest/scale-to-width-down/142?cb=20180101070000
Sho,https://static.wikia.nocookie.net/bokunoheroacademia/images/e/e4/Sho_Portrait.png/revision/latest/scale-to-width-down/135?cb=20200314175611
Midnight Boys,https://static.wikia.nocookie.net/bokunoheroacademia/images/9/9b/Midnight_Boys_Sketch.png/revision/latest/scale-to-width-down/150?cb=20180517184654
Chuma Yakumaru,https://static.wikia.nocookie.net/bokunoheroacademia/images/7/77/Junkie_Instant_Villain.png/revision/latest/scale-to-width-down/135?cb=20190316121016
Tesla,https://static.wikia.nocookie.net/bokunoheroacademia/images/4/40/Tesla_Portrait.png/revision/latest/scale-to-width-down/135?cb=20210523172447
Mr. Compress,https://static.wikia.nocookie.net/bokunoheroacademia/images/9/95/Mr_Compress_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20180503200307
The Ripper,https://static.wikia.nocookie.net/bokunoheroacademia/images/6/66/The_Ripper_Portrait.png/revision/latest/scale-to-width-down/135?cb=20201113191538
Ms. Joke,https://static.wikia.nocookie.net/bokunoheroacademia/images/7/72/Ms_Joke_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20200511211615
Tatami Nakagame,https://static.wikia.nocookie.net/bokunoheroacademia/images/d/d9/Tatami_Nakagame_Anime_Portrait.png/revision/latest/scale-to-width-down/136?cb=20200511212020
Moyuru Tochi,https://static.wikia.nocookie.net/bokunoheroacademia/images/0/07/Moyuru_Tochi_Portrait.png/revision/latest/scale-to-width-down/135?cb=20170220212340
Greedy Gaping Jaw,https://static.wikia.nocookie.net/bokunoheroacademia/images/5/5c/GreedyGapingJaw.png/revision/latest/scale-to-width-down/147?cb=20211214070957
The Fly,https://static.wikia.nocookie.net/bokunoheroacademia/images/c/c2/The_Fly_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20200522195003
Curious,https://static.wikia.nocookie.net/bokunoheroacademia/images/a/a7/Curious_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20210703093906
Star and Stripe,https://static.wikia.nocookie.net/bokunoheroacademia/images/5/58/Star_and_Stripe_Colored_Manga_Portrait.png/revision/latest/scale-to-width-down/135?cb=20220710212223
Rojiya Yonenaga,https://static.wikia.nocookie.net/bokunoheroacademia/images/6/67/Rojiya_Yonenaga_Portrait.png/revision/latest/scale-to-width-down/135?cb=20170808000152
La Brava,https://static.wikia.nocookie.net/bokunoheroacademia/images/b/b6/La_Brava_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20200308233205
Johnny,https://static.wikia.nocookie.net/bokunoheroacademia/images/f/f1/Johnny_%28Anime%29.png/revision/latest/scale-to-width-down/145?cb=20210821132548
David Shield,https://static.wikia.nocookie.net/bokunoheroacademia/images/6/69/David_Shield_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20200512115132
The Skycrawler,https://static.wikia.nocookie.net/bokunoheroacademia/images/b/bf/The_Skycrawler_portrait.png/revision/latest/scale-to-width-down/135?cb=20220709174625
Captain Celebrity,https://static.wikia.nocookie.net/bokunoheroacademia/images/f/f9/Captain_Celebrity_Colored_Manga_Portrait.png/revision/latest/scale-to-width-down/135?cb=20220708203602
Hitoshi Shinso,https://static.wikia.nocookie.net/bokunoheroacademia/images/1/19/Hitoshi_Shinso_Portrait.png/revision/latest/scale-to-width-down/135?cb=20181125071658
Toya Setsuno,https://static.wikia.nocookie.net/bokunoheroacademia/images/6/66/Toya_Setsuno_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20200112144740
Yui Kodai,https://static.wikia.nocookie.net/bokunoheroacademia/images/f/fe/Yui_Kodai_Portrait.png/revision/latest/scale-to-width-down/135?cb=20181125070700
Cider House,https://static.wikia.nocookie.net/bokunoheroacademia/images/0/0b/Cider_House_attack.png/revision/latest/scale-to-width-down/240?cb=20210612164203
Unnamed Street Thieves Member,https://static.wikia.nocookie.net/bokunoheroacademia/images/5/51/Street_Thief_3.png/revision/latest?cb=20180815022844
Dadan Tadan,https://static.wikia.nocookie.net/bokunoheroacademia/images/1/16/Dadan_Tadan_Portrait.png/revision/latest/scale-to-width-down/135?cb=20200512142715
Hood,https://static.wikia.nocookie.net/bokunoheroacademia/images/9/95/Hood_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20200405151444
Lunch Rush,https://static.wikia.nocookie.net/bokunoheroacademia/images/5/53/Lunch_Rush_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20200401120950
Mazinger Brothers,https://static.wikia.nocookie.net/bokunoheroacademia/images/9/96/Mazinger_Brothers.png/revision/latest/scale-to-width-down/224?cb=20191107160716
Rapt Tokage,https://static.wikia.nocookie.net/bokunoheroacademia/images/7/77/Rapt_Tokage_Portrait.png/revision/latest/scale-to-width-down/135?cb=20170220212340
All Might,https://static.wikia.nocookie.net/bokunoheroacademia/images/e/ec/All_Might_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20200511210525
Hound Dog,https://static.wikia.nocookie.net/bokunoheroacademia/images/8/8b/Hound_Dog_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20200321202014
Tiger Bunny,https://static.wikia.nocookie.net/bokunoheroacademia/images/1/16/Rumi_Usagiyama_Vigilantes_Portrait.png/revision/latest/scale-to-width-down/135?cb=20201024072014
