 full_name image
0 "Naruto Uzumaki" https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/5603895-dcc2d502-6c35-49c9-c93c-6eae7f44d551.jpg
1 "Sasuke Uchiha" https://static1.cbrimages.com/wordpress/wp-content/uploads/2020/08/Featured-Hated-Loved-Sasuke-Uchiha.jpg?q=50&fit=contain&w=1140&h=&dpr=1.5
2 "Sakura Haruno" https://comicvine.gamespot.com/a/uploads/square_small/11117/111173561/5325033-7699960593-Harun.jpg
3 "Kakashi Hatake" https://comicvine.gamespot.com/a/uploads/square_small/8/83555/4204760-1563555570-59219.jpg
4 "Shikamaru Nara" https://comicvine.gamespot.com/a/uploads/square_small/0/378/863386-jfzsyo.png
5 "Choji Akimichi" https://comicvine.gamespot.com/a/uploads/square_small/8/83555/4204747-5537357827-7c8f3.jpg
6 Tsunade https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/5587132-6465793746-e5bad.jpg
7 "Kiba Inuzuka" https://comicvine.gamespot.com/a/uploads/square_small/8/83555/4204714-5299706877-9dc9b.jpg
8 Gaara https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/5581910-gaara.full.361088.jpg
9 Orochimaru https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/5587140-7020129019-tumbl.png
10 "Ino Yamanaka" https://comicvine.gamespot.com/a/uploads/square_small/11117/111173561/5102176-1798529133-tumbl.jpg
11 "Hinata Hyuga" https://comicvine.gamespot.com/a/uploads/square_small/8/83555/4204689-4484292530-05f69.jpg
12 "Rock Lee" https://comicvine.gamespot.com/a/uploads/square_small/0/3133/147797-198795-lee.jpg
13 Akamaru https://comicvine.gamespot.com/a/uploads/square_small/8/83555/4204740-2184016079-ae941.jpg
14 "Itachi Uchiha" https://comicvine.gamespot.com/a/uploads/square_small/0/378/859934-god2vj0xj3.jpg
15 "Shino Aburame" https://comicvine.gamespot.com/a/uploads/square_small/8/83555/4204642-3805240659-ab8f3.jpg
16 "Neji Hyuga" https://comicvine.gamespot.com/a/uploads/square_small/0/378/703892-hyuuga_neji_chapter_256_by_hollisisgod.jpg
17 "Might Guy" https://comicvine.gamespot.com/a/uploads/square_small/8/83555/4204764-1352148667-09c1d.jpg
18 "Kabuto Yakushi" https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/5559826-64.jpg
19 "Iruka Umino" https://comicvine.gamespot.com/a/uploads/square_small/0/9804/248634-15306-iruka-umino.jpg
20 Jiraiya https://comicvine.gamespot.com/a/uploads/square_small/4/47703/3168215-03-04.jpg
21 "Third Hokage" https://comicvine.gamespot.com/a/uploads/square_small/0/378/275709-98454-the-third-hokage.jpg
22 Tenten https://comicvine.gamespot.com/a/uploads/square_small/0/378/338286-134310-tenten.jpg
23 Tobi https://comicvine.gamespot.com/a/uploads/square_small/0/378/1703401-uchiha_madara_by_buddypj_d35lp5z.jpg
24 "Temari Nara" https://comicvine.gamespot.com/a/uploads/square_small/8/83555/4204711-2768460266-e03e1.jpg
25 Pain https://comicvine.gamespot.com/a/uploads/square_small/0/378/816336-the_new_six_path_sage_by_eshutin.jpg
26 Kurama https://comicvine.gamespot.com/a/uploads/square_small/8/83555/4204931-7277065069-c2b19.jpg
27 Shizune https://comicvine.gamespot.com/a/uploads/square_small/8/83555/4204806-0217631336-68e83.jpg
28 Sai https://comicvine.gamespot.com/a/uploads/square_small/8/83555/4204746-1188289306-ad662.jpg
29 Zetsu https://comicvine.gamespot.com/a/uploads/square_small/4/47703/3199832-01.png
30 Kankuro https://comicvine.gamespot.com/a/uploads/square_small/4/47703/3187072-naruto%20-%20125%20-%2006.png
31 "Fourth Hokage" https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/5581905-namikaze.minato.full.100135.jpg
32 "Asuma Sarutobi" https://comicvine.gamespot.com/a/uploads/square_small/0/378/267278-200-asuma.jpg
33 Yamato https://comicvine.gamespot.com/a/uploads/square_small/0/378/527286-yamatoby_libri_nyu.jpg
34 "Kurenai Yuhi" https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/5581901-naruto.full.355058.jpg
35 "Suigetsu Hozuki" https://comicvine.gamespot.com/a/uploads/square_small/4/47703/3168273-suigetsu.jpg
36 Jugo https://comicvine.gamespot.com/a/uploads/square_small/0/378/218643-121145-juugo.png
37 Karin https://comicvine.gamespot.com/a/uploads/square_small/11117/111173561/5123917-4338387959-80805.jpg
38 "Killer Bee" https://comicvine.gamespot.com/a/uploads/square_small/8/83555/4204786-8095617146-95fe8.jpg
39 "First Hokage" https://comicvine.gamespot.com/a/uploads/square_small/0/378/267340-129083-the-first-hokage.jpg
