id full_name image appearance
0 "Monkey D. Luffy" https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7080202-1635462455-unkno.png 103
1 "Roronoa Zoro" https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7080194-7382724028-unkno.png 98
2 Usopp https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7080203-3155899631-unkno.png 96
3 Nami https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7080201-7164581366-unkno.png 95
4 "Vinsmoke Sanji" https://comicvine.gamespot.com/a/uploads/square_small/4/47703/2434111-473592_sanji_time_skip_1.png 90
5 "Nico Robin" https://comicvine.gamespot.com/a/uploads/square_small/4/47703/2434105-render_nicorobin.png 87
6 "Tony Tony Chopper" https://comicvine.gamespot.com/a/uploads/square_small/4/47703/2434113-chopper_time_skip_2.png 79
7 Franky https://comicvine.gamespot.com/a/uploads/square_small/4/47703/2434115-473629_untitled_2.png 66
8 Brook https://comicvine.gamespot.com/a/uploads/square_small/4/47703/2434117-473497_brook_timeskip1.png 50
9 "Trafalgar Law" https://comicvine.gamespot.com/a/uploads/square_small/4/47703/2841730-law.jpg 36
10 Shanks https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7080205-0870339526-unkno.png 34
11 Jimbei https://comicvine.gamespot.com/a/uploads/square_small/4/47703/3056239-7978640494-Jinbe.png 30
12 Kin'emon https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7079191-0722026288-unkno.png 26
13 "Big Mom" https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7078991-3720139327-unkno.png 24
14 Carrot https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/5871669-66fe3267-f7ee-405d-c083-9f3e6e5f00f9.png 24
15 "Sir Crocodile" https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7079118-6306836166-Scree.jpg 23
16 "Buggy the Clown" https://comicvine.gamespot.com/a/uploads/square_small/5/58245/1189311-buggy1.png 23
17 "Nefertari Vivi" https://comicvine.gamespot.com/a/uploads/square_small/2/21622/814634-vivi.jpg 23
18 "Portgaz D. Ace" https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7078671-9363995852-39fc3.jpg 22
19 Smoker https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7097956-0655-008.jpg 22
20 "Donquixote Doflamingo" https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7080204-8435747647-unkno.png 21
21 "Kozuki Momonosuke" https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7097941-volume_94%20%281%29%20-%20kopya.png 21
22 Blackbeard https://comicvine.gamespot.com/a/uploads/square_small/4/46706/1152176-current_blackbeard.png 20
23 "Eustass Kid" https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/5895735-c91f4ecc-6492-4212-c284-9cfaacff994a.jpg 20
24 "Basil Hawkins" https://comicvine.gamespot.com/a/uploads/square_small/4/47703/2962263-594534-hawkin.png 20
25 Tashigi https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7097959-0719212084-unkno.png 20
26 "X. Drake" https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7194078-8221700656-latest 18
27 Hatchan https://comicvine.gamespot.com/a/uploads/square_small/7/70464/1310443-hatchan.png 18
28 Jango https://comicvine.gamespot.com/a/uploads/square_small/4/47703/3044448-9302229284-Jango.png 18
29 Kanjuro https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7080125-2771706671-latest 18
30 "Rob Lucci" https://comicvine.gamespot.com/a/uploads/square_small/1/15776/1153175-lucci.jpg 17
31 Kuzan https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7078592-4966747295-latest 17
32 Karoo https://comicvine.gamespot.com/a/uploads/square_small/4/47703/3044498-1372017187-Carue.png 17
33 "Daz Bones" https://comicvine.gamespot.com/a/uploads/square_small/0/3347/392825-19445-mr-1.png 16
34 "Mr. 3" https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7080176-5738180563-latest 16
35 "Monkey D. Garp" https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7080183-4615055614-unkno.png 16
36 "Jesus Burgess" https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7079970-4195863248-unkno.png 16
37 Killer https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7080077-9559962303-Scree.jpg 16
38 Kaido https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7097964-0795-016.png 16
40 Kokoro https://comicvine.gamespot.com/a/uploads/square_small/4/47703/3044547-3342471155-Kokor.png 16
41 Kalifa https://comicvine.gamespot.com/a/uploads/square_small/4/47703/3044486-cp9_infobox.png 15
42 Kaku https://comicvine.gamespot.com/a/uploads/square_small/4/47703/3044479-9455687908-Kaku_.png 15
