full_name,image
Blast,https://static.wikia.nocookie.net/onepunchman/images/2/22/Blast_Icon.png/revision/latest/scale-to-width-down/144?cb=20210126001949
Tornado of Terror,https://static.wikia.nocookie.net/onepunchman/images/b/b6/Tats_Icon.png/revision/latest/scale-to-width-down/144?cb=20191119041759
Silver Fang,https://static.wikia.nocookie.net/onepunchman/images/e/e4/Bang_Icon.png/revision/latest/scale-to-width-down/144?cb=20191107034101
Atomic Samurai,https://static.wikia.nocookie.net/onepunchman/images/8/88/Atomic_Icon.jpg/revision/latest/scale-to-width-down/144?cb=20191004215514
Child Emperor,https://static.wikia.nocookie.net/onepunchman/images/a/ae/Child_Icon.png/revision/latest/scale-to-width-down/144?cb=20200220213602
Metal Knight,https://static.wikia.nocookie.net/onepunchman/images/1/18/MK_Icon.png/revision/latest/scale-to-width-down/144?cb=20200420200624
King,https://static.wikia.nocookie.net/onepunchman/images/c/c5/King_Icon.jpg/revision/latest/scale-to-width-down/144?cb=20191107033440
Zombieman,https://static.wikia.nocookie.net/onepunchman/images/b/bf/Zombie_Icon.png/revision/latest/scale-to-width-down/144?cb=20191115222724
Drive Knight,https://static.wikia.nocookie.net/onepunchman/images/2/25/Drive_Knight_Icon.png/revision/latest/scale-to-width-down/144?cb=20200101220739
Pig God,https://static.wikia.nocookie.net/onepunchman/images/e/ec/Pig_God_Icon.png/revision/latest/scale-to-width-down/144?cb=20191121024958
Superalloy Darkshine,https://static.wikia.nocookie.net/onepunchman/images/6/61/DS_Icon.png/revision/latest/scale-to-width-down/144?cb=20191115211521
Watchdog Man,https://static.wikia.nocookie.net/onepunchman/images/4/46/WDM_Icon.png/revision/latest/scale-to-width-down/144?cb=20191102172611
Flashy Flash,https://static.wikia.nocookie.net/onepunchman/images/5/59/Flash_Icon.png/revision/latest/scale-to-width-down/144?cb=20191119211552
Demon Cyborg,https://static.wikia.nocookie.net/onepunchman/images/d/df/Genos_Icon3.png/revision/latest/scale-to-width-down/144?cb=20191119211604
Metal Bat,https://static.wikia.nocookie.net/onepunchman/images/4/4a/Metal_Bat_Icon.png/revision/latest/scale-to-width-down/144?cb=20210302204847
Tanktop Master,https://static.wikia.nocookie.net/onepunchman/images/6/60/TTM_Icon1.png/revision/latest/scale-to-width-down/144?cb=20210427063316
Puri-Puri Prisoner,https://static.wikia.nocookie.net/onepunchman/images/a/a5/PPP_Icon.png/revision/latest/scale-to-width-down/144?cb=20191102172625
Sweet Mask,https://static.wikia.nocookie.net/onepunchman/images/4/4a/Amai_Mask_Icon.png/revision/latest/scale-to-width-down/126?cb=20190819032438
Iaian,https://static.wikia.nocookie.net/onepunchman/images/6/6d/Iaian_Manga_Profile.png/revision/latest/scale-to-width-down/144?cb=20191017171552
Okamaitachi,https://static.wikia.nocookie.net/onepunchman/images/9/95/Okamaitachi_Icon.png/revision/latest/scale-to-width-down/144?cb=20191017183212
Bushidrill,https://static.wikia.nocookie.net/onepunchman/images/6/69/Bushidrill_Icon.png/revision/latest/scale-to-width-down/144?cb=20191017202854
Heavy Tank Loincloth,https://static.wikia.nocookie.net/onepunchman/images/7/71/Heavy_Tank_Loincloth_Icon.png/revision/latest/scale-to-width-down/144?cb=20190829183344
Blue Fire,https://static.wikia.nocookie.net/onepunchman/images/b/b4/Blue_Fire_Icon.png/revision/latest/scale-to-width-down/144?cb=20151210014110
Magic Trick Man,https://static.wikia.nocookie.net/onepunchman/images/b/bf/Magic_Trick_Man_Icon.png/revision/latest/scale-to-width-down/144?cb=20151210013836
Death Gatling,https://static.wikia.nocookie.net/onepunchman/images/9/99/Death_Gatling_Icon.png/revision/latest/scale-to-width-down/144?cb=20191012063225
Tanktop Vegetarian,https://static.wikia.nocookie.net/onepunchman/images/c/ce/Tanktop_Vegetarian_Icon.png/revision/latest/scale-to-width-down/144?cb=20190830144040
Stinger,https://static.wikia.nocookie.net/onepunchman/images/4/4a/Stinger_Icon.png/revision/latest/scale-to-width-down/144?cb=20190909045111
Twin Tail,https://static.wikia.nocookie.net/onepunchman/images/4/42/Twin_Tail_Icon.png/revision/latest/scale-to-width-down/144?cb=20190819043145
Great Philosopher,https://static.wikia.nocookie.net/onepunchman/images/c/c6/Great_Philosopher_Icon.png/revision/latest/scale-to-width-down/144?cb=20190829183708
Butterfly DX,https://static.wikia.nocookie.net/onepunchman/images/f/f6/Butterfly_DX_Icon.png/revision/latest/scale-to-width-down/144?cb=20191022042554
Lightning Genji,https://static.wikia.nocookie.net/onepunchman/images/6/6c/Lightning_Genji_Icon.png/revision/latest/scale-to-width-down/144?cb=20130206190328
Lightning Max,https://static.wikia.nocookie.net/onepunchman/images/a/a2/Lightning_Max_Icon.png/revision/latest/scale-to-width-down/144?cb=20200101222331
One Shotter,https://static.wikia.nocookie.net/onepunchman/images/c/ca/One_Shotter_Icon.png/revision/latest/scale-to-width-down/144?cb=20190819043325
